,bad-tickers
1213,NYG1-BE
1214,OIZ-BE
1215,PTJ-BE
1216,QJQ-BE
1217,SGG-BE
1218,SMWN-BE
1219,VQI-BE
1220,BTQ-HM
1221,UHR-HM
1222,AJXA-DU
1223,LO3-DU
1224,NEQ-DU
1225,T2V1-DU
1226,599A-MU
1227,6AH-MU
1228,ITB-MU
1229,M0YN-MU
1230,N7E-MU
1231,RIO1-MU
1232,TM9-MU
1233,VPK5-MU
1234,WWR-MU
1235,AN9-STU
1236,BPS-STU
1237,EAD-STU
1238,FBLM-STU
1239,GZT-STU
1240,IMW-STU
1241,JHU1-STU
1242,NCO-STU
1243,P2F-STU
1244,P3K-STU
1245,PF8-STU
1246,R1Y-STU
1247,0ZA-F
1248,1EP-F
1249,1IH-F
1250,1K0-F
1251,2A8-F
1252,2DE-F
1253,2XK-F
1254,3LR-F
1255,3S8-F
1256,4A8-F
1257,4S4-F
1258,4Z9-F
1259,6M0A-F
1260,6N2-F
1261,74X-F
1262,7IR-F
1263,7YR-F
1264,837-F
1265,87W-F
1266,8G7-F
1267,8Z4-F
1268,9GK-F
1269,9QQ-F
1270,9UD-F
1271,9ZK-F
1272,BJR-F
1273,BLDA-F
1274,BW6-F
1275,CX40-F
1276,CZTA-F
1277,FQZ-F
1278,G2U0-F
1279,H56-F
1280,HL9D-F
1281,IT3-F
1282,JEM0-F
1283,K7X-F
1284,LCQ-F
1285,NVDG-F
1286,OCI-F
1287,RI4A-F
1288,RW8-F
1289,V7A0-F
1290,Z0Y-F
1291,CLEN-VI
1292,VU-PA
1293,MAJGRO-CO
1294,NYIDA-CO
1295,JHL-DSE
1296,ADPC-EGX
1297,PHAR-EGX
1298,GOLDBREW-XNSA
1299,CENTUM-XNAI
1300,EACABLES-XNAI
1301,CDM-BC
1302,UTIN-SEM
1303,168360-KO
1304,214610-KO
1305,227610-KO
1306,290120-KO
1307,093240-KQ
1308,WPR-WAR
1309,BFMOD-KAR
1310,SMIL-JK
1311,DIF-BK
1312,SJWD-R-BK
1313,TPL-BK
1314,GCMEZZ-AT
1315,CELSIA-CM
1316,KFPN0000-CM
1317,TAFLN0000-CM
1318,WATAN0000-CM
1319,LHC-VN
1320,PSD-VN
1321,SLS-VN
1322,THT-VN
1323,0255-KLSE
1324,ALT-RO
1325,MCAB-RO
1326,INTERBC1-LIM
1327,CYPMF-US
1328,GBUX-US
1329,GUG-US
1330,LTCN-US
1331,SRLY-US
1332,STHRF-US
1333,TGMR-US
1334,JEMA-LSE
1335,PWF-PH-TO
1336,3MW-BE
1337,4T2-BE
1338,B4Z-BE
1339,EV1-BE
1340,FAU-BE
1341,MA6-BE
1342,PX5-BE
1343,R1Y-BE
1344,T9V-BE
1345,WR0-BE
1346,CORE-DU
1347,EM7A-MU
1348,LSX-MU
1349,RPHA-MU
1350,3IM-STU
1351,9R9-STU
1352,A89-STU
1353,GYX-STU
1354,INFA-STU
1355,JOX-STU
1356,LNLB-STU
1357,M3N-STU
1358,MMT-STU
1359,SKVB-STU
1360,TK2A-STU
1361,XGH-STU
1362,2ZT-F
1363,3WK0-F
1364,3Z3-F
1365,4ZU0-F
1366,55I0-F
1367,70X-F
1368,7IH-F
1369,86L-F
1370,8CY-F
1371,8JZ-F
1372,8WS-F
1373,9B2-F
1374,9PS-F
1375,9XA-F
1376,AP4N-F
1377,BNPH-F
1378,BNQQ-F
1379,D3H0-F
1380,GVM0-F
1381,H0I-F
1382,HC1A-F
1383,HMIA-F
1384,KDID-F
1385,KDM-F
1386,KUOA-F
1387,M0G-F
1388,NDA1-F
1389,NXS0-F
1390,O4D-F
1391,PF6-F
1392,Q49-F
1393,S4O0-F
1394,SRPB-F
1395,TF8-F
1396,V72-F
1397,VUL-F
1398,VVUD-F
1399,WY60-F
1400,X92-F
1401,DKIGSFUT-CO
1402,NDIGSCKL1-CO
1403,NIC-USE
1404,RAKT-EGX
1405,EGL-GSE
1406,037030-KO
1407,223250-KO
1408,282720-KO
1409,294090-KO
1410,302430-KO
1411,347000-KO
1412,417010-KO
1413,424140-KO
1414,011230-KQ
1415,044380-KQ
1416,052690-KQ
1417,084680-KQ
1418,092230-KQ
1419,393890-KQ
1420,452400-KQ
1421,GGGL-KAR
1422,CD1-AU
1423,SCL-BK
1424,301202-SHE
1425,MEDIASSIST-NSE
1426,688539-SHG
1427,688603-SHG
1428,ASIYN0000-CM
1429,LALUN0000-CM
1430,SMOTN0000-CM
1431,API-VN
1432,PDB-VN
1433,SZC-VN
1434,VIF-VN
1435,0R9I-IL
1436,ATAKP-IS
1437,OFSYM-IS
1438,CHTM-US
1439,GJH-US
1440,JVSAR-US
1441,OMDD-US
1442,SHGR-US
1443,ESP-TO
1444,FFN-PA-TO
1445,2GB-BE
1446,AAM-BE
1447,BME-BE
1448,CBE-BE
1449,FTRK-BE
1450,GUL-BE
1451,MBQ-BE
1452,OXK-BE
1453,PBY-BE
1454,PHT-BE
1455,PV6-BE
1456,RGD1-BE
1457,SWJA-BE
1458,UCH-BE
1459,WCQ1-BE
1460,BY6-HM
1461,3D6-DU
1462,B8A-DU
